"4C OFFSHORE WIND FARMS DATABASE
PROTECTED BY COPYRIGHT - NOT FOR DISTRIBUTION
WWW.4COFFSHORE.COM
VN73,Hoa Binh 1 - phase 2 (intertidal),,Vietnam,Under Construction,,Bạc Liêu,Phase 2 will add 13 turbines (50 MW) and a 5.6 km bridge connecting to a coastal land area of 284 hectares. Power output is estimated at ~199 million kwh/year.,,04 Dec 2020: All 13 turbines are in place.,14-Oct-2020,14-Oct-2020,,04-May-2016,26-Jul-2020,,,2020,50,High,Project reached financial close in 2020 and commenced construction in October 2020. It is keen to make grid connection before the end-October 2021 FiT deadline.,PHUONG ANH,Hoah Binh 1 Investment Joint Stock Company,,51.4,50,V150-4.2 MW  (Vestas),,,V150-4.2 MW,,,4,,13,,,150,Grounded: Not Specified,,,VND 2.5e+006 million,2500000,VND,,"Phuong Anh plans to invest 15,940 billion VND to develop 240MW project, and has received permission from Bac Lieu Department of Planning and Investment to do so.",,,,0.6,5.5,,,,5.58,8.19,5.9676,9.1338,105.6975,South China Sea,Asia,NO,,,1,,110kV National Power Grid at Bac Lieu,Hia Binh substation,,,,,,,,,,,,,1,12,Likely overhead connecting transformer station to 110 kV dual circuit line.,
VN74,Hoa Binh 2 (intertidal),,Vietnam,Concept/Early Planning,Bac Lieu,Bạc Liêu,,,26 Jul 2020: Ownership authorised in an investment ceremony.,,,,,,,,,,,,PHUONG ANH,PHUONG ANH,,250,50,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,VND 2.823e+006 million,2823000,VND,,,,,,,,,,,,8.19,,9.1383,105.7267,South China Sea,Asia,Yes,,,,,Connection to the 110 kV Hoa Binh substation (at the 220 kV Hoa Binh substation) via a dual circuit 110 kV,,,,,,,,,,,,,,,,,
NL58,Hoek van Holland 2,41 (ID assigned by authority),Netherlands,Cancelled,,Zuid-Holland,,,"01 Jul 2015: The Offshore Wind Act (Wet Windenergie op Zee) came into operation.
Any existing permits that had not been acted upon or had subsidies allocated, have been retracted. The unused areas may be amalgamated into larger areas and feature in tender rounds post 2020.",,,,,,,,,,,,Raedthuys Holding,Raedthuys Holding BV,,450,,Not Decided,,,,,3,5,85,100,,,,Grounded: Not Specified,,,,,,,,,,,20,33,,,40,45.63,9.92,58.04,52.1463,3.4103,North Sea,Europe,NO,,,,,Maasvlakte,Maasvlakte,,,,150,,,,,,,,,,,,20
NL59,Hoek van Holland 3,42 (ID assigned by authority),Netherlands,Cancelled,,Zuid-Holland,,,"01 Jul 2015: The Offshore Wind Act (Wet Windenergie op Zee) came into operation.
Any existing permits that had not been acted upon or had subsidies allocated, have been retracted. The unused areas may be amalgamated into larger areas and feature in tender rounds post 2020.",,,,,,,,,,,,Raedthuys Holding,Raedthuys Holding BV,,450,,Not Decided,,,,,3,5,90,150,,,,Grounded: Not Specified,,,,,,,,,,,22,33,,,50,53.5,9.88,45.71,52.192,3.318,North Sea,Europe,NO,,,,,Maasvlakte,Maasvlakte,,,,150,,,,,,,,,,,,20
NL60,Hoek van Holland 4,43 (ID assigned by authority),Netherlands,Cancelled,,Zeeland,,,"01 Jul 2015: The Offshore Wind Act (Wet Windenergie op Zee) came into operation.
Any existing permits that had not been acted upon or had subsidies allocated, have been retracted. The unused areas may be amalgamated into larger areas and feature in tender rounds post 2020.",,,,,,,,,,,,Raedthuys Holding,Raedthuys Holding BV,,450,,Not Decided,,,,,3,5,90,150,,,,Grounded: Not Specified,,,,,,,,,,,22,35,,,50,54.29,10.04,51.28,52.1128,3.2183,North Sea,Europe,NO,,,,,Maasvlakte,Maasvlakte,,,,150,,,,,,,,,,,,20
NL57,Hoek van Holland1,40 (ID assigned by authority),Netherlands,Cancelled,,Zuid-Holland,,,"01 Jul 2015: The Offshore Wind Act (Wet Windenergie op Zee) came into operation.
Any existing permits that had not been acted upon or had subsidies allocated, have been retracted. The unused areas may be amalgamated into larger areas and feature in tender rounds post 2020.",,,,,,,,,,,,Raedthuys Holding,Raedthuys Holding BV,,300,,Not Decided,,,,,3,5,85,100,,,,Grounded: Not Specified,,,,,,,,,,,20,28,,,23,28.97,10.06,22.62,52.0983,3.6425,North Sea,Europe,NO,,,,,Maasvlakte,Maasvlakte,,,,150,,,,,,,,,,,,20
DE11,Hohe See,Hochsee Windpark 'Nordsee',Germany,Fully Commissioned,,Exclusive Economic Zone 2 (BorWin) (BSH Cluster 8),"In November 2015, Hohe See was awarded 50MW of additional grid connection capacity at BorWin 2 as part of the 2015 allocation round held by BNetzA. EnBW Hohe See now has a total of 500MW of allocated grid connection capacity across BorWin 2 and 3.",https://www.enbw.com/erneuerbare-energien/windenergie/unsere-windparks-auf-see/hohe-see/,"07 Nov 2019: On 1st October 2019, EnBW issued a tender for a rescue helicopter and aeronautical and medical crew to work on Hohe See and Albatros. The four-year contract will commence on 1st March 2020, and run until 28th February 2024, with two one-year prolongation options. The tender’s application deadline is 7th November 2019.",13-Apr-2018,13-Apr-2018,02-Jul-2001,05-Jul-2006,31-Dec-2016,15-Jul-2019,01-Nov-2019,2018,497,High,"FID at end-2016, €1.8bn, with Enbridge and EnBW both equally funding the project. As of Q4 2019 all turbines are generating power at Hohe See and Albatros.","EnBW (50.1%), Enbridge (25.45%), CPPIB (24.45%)","EnBW Hohe See GmbH,",EnBW Energie Baden-Württemberg AG,497,,SWT-7.0-154 (Siemens Gamesa),,,SWT-7.0-154,,,7,,71,182,105,154,Grounded: Monopile,71 x Monopile,"Transition pieces hieght 28m, diameter 7.4m,  weight 480 tons.",EUR 1800 million,1800,EUR,Market Premium (EEG 2014),"Under EEG 2014 projects receive 15.4ct/kWh for the first 12 years or 19.4 ct/kWh for first eight years (compression model).  Payments can be extended by 0.5 months for each full nautical mile beyond 12 nautical miles that the installation is distanced from the shoreline, and by 1.7 months for each full metre of water depth beyond a water depth of 20 metres. During any period of extension, the payments are at the 15.4 ct/kWh level only. Project assumed here to use compression model. However, tariff subject to erosion - 18.4ct/kWh under compression model, 14.9 ct/kWh standard model,  if commissioning by end-2019.",EUR,184,184,39,40,39,40,90,104.64,10.05,40.518,54.4434,6.33,North Sea,Europe,NO,"Esbjerg, Eemshavn",Emdem (Helicopter base),1,HVDC Converter Station,BorWin 3,,2,9.3,,155,,,,,,100,33,Total of 79 inter-array cables.,,,,
NL0F,Hollandse Kust Noord (Tender 2019),"HKN, CrossWind",Netherlands,Pre-Construction,2019 Tender,Noord-Holland,"The tender for Hollandse Kust Noord (HKN), the last of the five areas tendered under the 2013 Energy Agreement. CrossWind C.V., a consortium comprising Shell and Eneco, was announced as the winner in July 2020. The 759 MW HKN project, located 18.5 kilometers from the Dutch coast at Egmond aan Zee, will enter operations in 2023 and supply 3.3 TWh per year. CrossWind will test five demonstrative innovations in the field of energy storage and flexibility, with the possibility of rolling them out on a larger scale at other wind farms in the future. An offshore solar demo, developed with TNO, will have a minimum size of 0.5 MWp and will be constructed in 2025.Other Innovations include; battery storage for the short term; turbines that are optimally matched to each other to limit the mutual negative 'wind shadow' effects; 'green hydrogen' made by electrolysis as another storage technique and the combination of these individual measures together to guarantee a continuous power supply, regardless of the wind situation. Shell also intends to build a 200 MW green hydrogen factory on the Tweede Maasvlakte at a site designated by the Port of Rotterdam with the NorthH2 project. Shell intends to start operations by 2023 to produce about 50,000 – 60,000 kg of hydrogen per day. The green hydrogen produced will initially be used at the Shell refinery in Pernis to decarbonise the production of fuels. TenneT is responsible for the construction and operation of offshore transmission systems, including the 220 kV offshore substation, due online in 2023.",https://offshorewind.rvo.nl/generalnh,"16 Dec 2020: Next Geosolutions has commenced site investigation for unexploded explosives, along the submarine cable route at sea and Heemskerk beach. The research consists three phases: first the objects were mapped and traced, then objects found along the route are further examined, and in the final phase objects will be secured and cleared.",01-Jul-2022,24-Sep-2020,,,29-Jul-2020,,31-Dec-2023,2022,700,High,"The tender for Hollandse Kust Noord (HKN), the last of the five areas tendered under the 2013 Energy Agreement. CrossWind C.V., a consortium comprising Shell and Eneco, was announced as the winner in July 2020. The 759 MW HKN project, located 18.5 kilometers from the Dutch coast at Egmond aan Zee, will enter operations in 2023 and supply 3.3 TWh per year. The project has reached FID and Van Oord has been confirmed as the Balance of Plant contractor. CrossWind will install 69 11 MW Siemens Gamesa wind turbines with 200m rotor diameter. CrossWind will test five demonstrative innovations in the field of energy storage and flexibility, with the possibility of rolling them out on a larger scale at other wind farms in the future. These include: a floating solar farm; battery storage for the short term; turbines that are optimally matched to each other to limit the mutual negative 'wind shadow' effects; 'green hydrogen' made by electrolysis as another storage technique and the combination of these individual measures together to guarantee a continuous power supply, regardless of the wind situation. Shell also intends to build a 200 MW green hydrogen factory on the Tweede Maasvlakte at a site designated by the Port of Rotterdam with the NorthH2 project. Shell intends to start operations by 2023 to produce about 50,000 – 60,000 kg of hydrogen per day. The green hydrogen produced will initially be used at the Shell refinery in Pernis to decarbonise the production of fuels. TenneT is responsible for the construction and operation of offshore transmission systems, including the 220 kV offshore substation, due online by 31 March 2023.","Shell (79.9%), Eneco (20.1%)",CrossWind C.V.,,700,,SG 11.0-200 DD (Siemens Gamesa),,,SG 11.0-200 DD,,,11,,69,,,200,Grounded: Monopile,70 x Monopile,No transition piece. Steel weight averages 65ktons across 70 monopiles.,EUR 1399 million,1399,EUR,"Stimulering Duurzame Energieproductie, Windenergie op Zee (SDE+ Offshore Wind)",,,,,19,24,15,44,18.5,25.37,9.88,93.72,52.7141,4.2646,North Sea,Europe,NO,,,1,,Beverwijk,Wijk aan Zee,2,35,,220,,,,,,,,,6,,A new 220/380 kV transformer station is planned on the Zeestraat in Beverwijk to serve the Hollandse Kust (noord) and Hollandse Kust (west Alpha) transmission systems. It will then be further expanded to connect Hollandse Kust West (Beta). Up to four underground 380 kV cable systems from the transformer station to the Beverwijk high-voltage station will connect to the national high-voltage network.,30
NL0O,Hollandse Kust West - (Tender 2020/2021),"HKW, Hollandse Kust West VI, Hollandse Kust West VII",Netherlands,Development Zone,Energy Agenda,Noord-Holland,"A tender to develop the 1,400 MW Hollandse Kust (west) Wind Farm Zone is scheduled for Q2 2021. Transmission system operator TenneT will construct 2 offshore platforms with 2 grid connections within the HKWWFZ.",,01 Jan 2021: Tenders for Hollandse Kust (west Beta) transmission system are scheduled for 2021.,01-Jan-2024,01-Jan-2023,,,,,01-Jan-2026,2024,1400,Medium,"RVO released the Offshore Wind Energy Roadmap on 27th March 2018 allowing for an extra 7GW as expected in accordance with the 2016 Energy Agenda. The 7GW allocation is to be divided across 3 zones (Hollandse Kust West, Ten noorden van de Waddeneilanded, IJmuiden Ver). Publication of the draft site decisions was originally expected end of 2019 however, now expected October/Q4 2020. This delay is mainly due cancellation of the Nitrogen Approach Program (PAS). Further delays may arise if appeals are submitted against the site decisions in which case RVO will decide in consultation with the wind sector if planning setbacks might occur.
Publication of tender regulation expected Q3 2021. Tender is due to open Q4 2021 and close Q1 2022, winners announced in Q2 2022.
Original schedule was the launch the tender in Q2 2021.
Various amendments to the Offshore Wind Energy Act (OWEA), including additional zero-subsidy tender procedures and extension of permits from 30-40 years are expected to be implemented prior to and hence included in the HKW tender. Full commissioning of the wind farm is expected in 2025-2026. The wind farm is connected via two transmission systems HKW alpha and Beta due to be delivered in Q1 2024 and Q1  2026 respectively.",,,,1400,,Not Decided,,,,,10,15,94,140,,,,Grounded: Not Specified,,,,,,,,,,,19.1,31,,,51,61.08,9.78,,52.6293,3.7162,North Sea,Europe,NO,,,2,,Tata Steel,Beverwijk,4,70,,220,,,,,Each connection system has capacity of 700 MW. Two 220 kV cable systems per platform connect to shore. A 66 kV interconnector cable will connect to the HKW platform Alpha and platform Beta. The Hollandse Kust West (alpha) platform and cables will be built in advance alongside the Hollandse Kust Noord Transmission system.,,66,66kV array cables will connect the turbines to the HKW Alpha and Beta platforms.,,,A new 220/380 kV transformer station is planned on the Zeestraat in Beverwijk to serve the Hollandse Kust (noord) and Hollandse Kust (west Alpha) transmission systems. It will then be further expanded to connect Hollandse Kust West (Beta). Up to four underground 380 kV cable systems from the transformer station to the Beverwijk high-voltage station will connect to the national high-voltage network.,
NL0D,Hollandse Kust Zuid Holland I and II - Chinook - (Tender 2017),HKZ I,Netherlands,Pre-Construction,2017 Tender,Zuid-Holland,On 19th March 2018 Vattenfall/Nuon won the tender to develop the project. The project will be the first non-subsidized wind farm in the Netherlands.,http://offshorewind.rvo.nl/generalzh,01 Jan 2021: DNV GL expects to issue a full project certificate for the Hollandse Kust Zuid Alpha substation in 2021,01-Jun-2021,20-Aug-2020,,06-Dec-2017,04-Jun-2020,31-Dec-2022,31-Dec-2022,2021,770,High,"Tender for two 350MW zones (HKZ I&II) was held in late 2017, and was awarded to Vattenfall in March 2018 with a winning subsidy free bid. Vattenfall was susbequently awarded the HKZ III&IV sites in mid-2019 with further subsidy free bids. The four areas have a combined capacity of 1.5 GW. Vattenfall intends to continue work on the detailed wind farm design throughout 2019 and 2020 and further supply chain negotiations. FID reached June 2020.  The installation of the components is scheduled to start in 2021. Turbine installation in 2022. The expectation is that the Hollandse Kust Zuid wind farm will be commissioned in phases; sites I&II in 2022 and III&IV in 2023. Delivery date of the offshore grid for Hollandse Kust zuid I and II has been adapted as a result of the agreement on changing the completion date between the permit holder of those sites and TenneT. Grid connection for Hollandse Kust Alpha is now expected 31st December 2021 as opposed to early 2021. Vattenfall are confident that it can maintain the current schedule in the face of COVID-19 pandemic.",Vattenfall,Chinook C.V.,,770,,SG 11.0-193 DD (Siemens Gamesa),,,SG 11.0-193 DD,,,11,,70,,,193,Grounded: Monopile,70 x Monopile,"Steel weight for 140 of the monopiles = 136,000t, meaning an average weight of 971t per monopile. Flanged connection.",,,,"Stimulering Duurzame Energieproductie, Windenergie op Zee (SDE+ Offshore Wind)","Won with subsidy free bid, will therefore have to take market price or secure price stability elsewhere, e.g. via a  corporate PPA",EUR,,,17.9,22,18,22,30,29.99,9.97,103.06,52.3341,4.0108,North Sea,Europe,NO,Port of Rotterdam,Port of IJmuiden,1,,,Maasvlakte North,2,42,8,220,,,,,"The export cable for tender I and II will make landfall at Maasvlakte North.
HKZ Alpha Platform is also linked to HKZ Beta platform via a 66 kV interconnector cable.",150,66,,,,,
